"title","method"
"Gebratener Reis mit Ei","Um gebratenen Reis mit Ei zu machen, erhitzen Sie 2 Esslöffel Pflanzenöl in einer großen Pfanne oder einem Wok bei mittlerer bis hoher Hitze. Fügen Sie 3 geschlagene Eier hinzu und rühren Sie, bis sie vollständig gekocht sind. Nehmen Sie die Eier aus der Pfanne und stellen Sie sie beiseite. Fügen Sie in derselben Pfanne einen weiteren Esslöffel Öl hinzu und braten Sie 2 Tassen kalten, gekochten Reis 2-3 Minuten lang an. Fügen Sie 1 Tasse gemischtes Gemüse (wie Erbsen, Karotten und Mais) hinzu und braten Sie es weitere 2 Minuten. Geben Sie die Rühreier zurück in die Pfanne und rühren Sie 2 Esslöffel Sojasauce und 1 Teelöffel Sesamöl ein. Alles zusammen noch eine Minute kochen. Heiß servieren, garniert mit in Scheiben geschnittenen Frühlingszwiebeln."
"Spaghetti Carbonara","Um Spaghetti Carbonara zu machen, kochen Sie 225 g Spaghetti in einem großen Topf mit kochendem Salzwasser bis al dente. Während die Pasta kocht, braten Sie 115 g gewürfelten Pancetta oder Speck in einer Pfanne bei mittlerer Hitze, bis er knusprig ist. In einer kleinen Schüssel 2 große Eier und 1/2 Tasse geriebenen Parmesan verquirlen. Die Pasta abgießen, dabei 1/2 Tasse Kochwasser aufbewahren. Die Pasta in den Topf zurückgeben und schnell die Eiermischung einrühren, sodass die Pasta gleichmäßig bedeckt ist. Fügen Sie den knusprigen Pancetta hinzu und einen Schuss des Kochwassers, falls die Sauce zu dick ist. Mit Salz und frisch gemahlenem schwarzen Pfeffer würzen. Sofort servieren, mit extra Parmesan garniert."
"Minestrone Suppe","Um Minestrone-Suppe zu machen, erhitzen Sie 2 Esslöffel Olivenöl in einem großen Topf bei mittlerer Hitze. Fügen Sie 1 gewürfelte Zwiebel, 2 gehackte Karotten und 2 gewürfelte Selleriestangen hinzu. Kochen Sie das Gemüse 5-7 Minuten, bis es weich wird. Fügen Sie 2 gehackte Knoblauchzehen und 1 gewürfelte Zucchini hinzu und kochen Sie weitere 2 Minuten. Fügen Sie 1 Dose gewürfelte Tomaten, 4 Tassen Gemüsebrühe, 1 Dose Kidneybohnen und 1/2 Tasse kleine Nudeln (wie Ditalini) hinzu. Mit Salz, Pfeffer und 1 Teelöffel getrocknetem Oregano würzen. Die Suppe zum Kochen bringen, dann die Hitze reduzieren und 15-20 Minuten köcheln lassen, bis die Nudeln gar sind. Zum Schluss eine Handvoll gehackten Spinat unterrühren und servieren."
"Blaubeermuffins","Um Blaubeermuffins zu machen, heizen Sie Ihren Ofen auf 190°C vor und legen Sie eine Muffinform mit Papierförmchen aus. In einer großen Schüssel 1 1/2 Tassen Mehl, 3/4 Tasse Zucker, 1/2 Teelöffel Salz und 2 Teelöffel Backpulver vermengen. In einer separaten Schüssel 1/3 Tasse Pflanzenöl, 1 großes Ei und 1/3 Tasse Milch vermischen. Die nassen Zutaten zu den trockenen Zutaten geben und rühren, bis sie gerade so vermischt sind. Vorsichtig 1 Tasse frische oder gefrorene Blaubeeren unterheben. Den Teig gleichmäßig in die Muffinform verteilen und 20-25 Minuten backen, oder bis ein Zahnstocher in der Mitte sauber herauskommt. Lassen Sie die Muffins einige Minuten in der Form abkühlen, bevor Sie sie auf ein Gitter legen, um sie vollständig abzukühlen."
"Gefüllte Paprika","Um gefüllte Paprika zu machen, heizen Sie Ihren Ofen auf 190°C vor. Schneiden Sie die Oberseiten von 4 Paprikaschoten ab und entfernen Sie die Kerne. In einer großen Pfanne 1 Esslöffel Olivenöl bei mittlerer Hitze erhitzen. Fügen Sie 1 gewürfelte Zwiebel und 2 gehackte Knoblauchzehen hinzu und braten Sie, bis sie weich sind. Geben Sie 450 g Hackfleisch hinzu und braten Sie es, bis es braun ist. Überschüssiges Fett abgießen. 1 Tasse gekochten Reis, 1 Dose gewürfelte Tomaten, Salz, Pfeffer und 1 Teelöffel italienische Gewürze einrühren. Jede Paprika mit der Fleischmischung füllen und in eine Auflaufform stellen. Mit geriebenem Käse bestreuen und mit Folie abdecken. 25-30 Minuten backen, dann die Folie entfernen und weitere 10 Minuten backen, bis der Käse goldbraun ist."
"Boeuf Stroganoff","Um Boeuf Stroganoff zu machen, schneiden Sie 450 g Rinderlende in dünne Streifen. Das Fleisch mit Salz und Pfeffer würzen. In einer großen Pfanne 2 Esslöffel Butter bei mittlerer bis hoher Hitze erhitzen. Das Fleisch hinzufügen und 4-5 Minuten braten, bis es gebräunt ist. Das Fleisch aus der Pfanne nehmen und beiseitestellen. In derselben Pfanne weitere 2 Esslöffel Butter schmelzen und 1 gewürfelte Zwiebel und 1 gehackte Knoblauchzehe anbraten, bis sie weich sind. 1 Esslöffel Mehl einrühren und 1 Minute kochen lassen. Nach und nach 1 Tasse Rinderbrühe und 1 Tasse saure Sahne hinzufügen und unter ständigem Rühren kochen, bis die Sauce dick wird. Das Fleisch zurück in die Pfanne geben und 2-3 Minuten weiterkochen. Über Eiernudeln servieren, garniert mit frischer Petersilie."
"Hähnchen-Parmesan","Um Hähnchen-Parmesan zu machen, heizen Sie Ihren Ofen auf 200°C vor. Würzen Sie 2 Hähnchenbrustfilets ohne Haut und Knochen mit Salz und Pfeffer. Wälzen Sie jedes Hähnchenbrustfilet in Mehl, tauchen Sie es dann in geschlagene Eier und schließlich in Semmelbrösel, die mit geriebenem Parmesan gemischt wurden. In einer großen Pfanne 2 Esslöffel Olivenöl bei mittlerer Hitze erhitzen. Braten Sie das Hähnchen 3-4 Minuten auf jeder Seite, bis es goldbraun ist. Legen Sie das Hähnchen in eine Auflaufform und bedecken Sie es mit Marinara-Sauce und geriebenem Mozzarella. 15-20 Minuten backen, bis der Käse geschmolzen und sprudelnd ist. Heiß servieren, über Spaghetti oder Ihrer Lieblingspasta."
"Apfelkuchen","Um Apfelkuchen zu machen, heizen Sie Ihren Ofen auf 220°C (425°F) vor. In einer großen Schüssel mischen Sie 6 geschälte und in Scheiben geschnittene Äpfel mit 1/2 Tasse Zucker, 1 Teelöffel Zimt und 1/4 Teelöffel Muskatnuss. Die Äpfel gleichmäßig bedecken. Rollen Sie einen Teigboden aus und legen Sie ihn in eine 9-Zoll-Pie-Form. Gießen Sie die Apfelmischung in den Teig und geben Sie 2 Esslöffel Butter darauf. Rollen Sie den zweiten Teigboden aus und legen Sie ihn über die Äpfel, drücken Sie die Ränder zusammen, um ihn zu verschließen. Schneiden Sie einige Schlitze in den oberen Teig, um Dampf entweichen zu lassen. Backen Sie den Kuchen 45-50 Minuten lang, bis die Kruste goldbraun und die Füllung blubbert. Lassen Sie den Kuchen abkühlen, bevor Sie ihn servieren."
"Vegetarisches Chili","Um vegetarisches Chili zuzubereiten, erhitzen Sie 2 Esslöffel Olivenöl in einem großen Topf bei mittlerer Hitze. Fügen Sie 1 gewürfelte Zwiebel, 2 gehackte Paprika und 2 gehackte Knoblauchzehen hinzu. Kochen Sie das Gemüse etwa 5-7 Minuten, bis es weich ist. Rühren Sie 2 Esslöffel Chilipulver, 1 Teelöffel Kreuzkümmel und 1 Teelöffel geräuchertes Paprikapulver ein. Fügen Sie 1 Dose gewürfelte Tomaten, 1 Dose Kidneybohnen, 1 Dose schwarze Bohnen und 1 Tasse Gemüsebrühe hinzu. Lassen Sie das Chili köcheln und kochen Sie es 20-25 Minuten, gelegentlich umrühren. Mit Salz und Pfeffer abschmecken. Heiß servieren, garniert mit Sauerrahm, geriebenem Käse und gehacktem Koriander."
"Auberginen-Parmesan","Um Auberginen-Parmesan zuzubereiten, heizen Sie Ihren Ofen auf 190°C (375°F) vor. Schneiden Sie 2 mittelgroße Auberginen in 1/4 Zoll dicke Scheiben. Würzen Sie die Scheiben mit Salz und lassen Sie sie 30 Minuten stehen, um überschüssige Feuchtigkeit zu entziehen. Tupfen Sie die Auberginenscheiben mit Papiertüchern trocken. Wenden Sie jede Scheibe in Mehl, tauchen Sie sie in geschlagene Eier und bestreichen Sie sie mit Semmelbröseln. In einer großen Pfanne erhitzen Sie 2 Esslöffel Olivenöl bei mittlerer Hitze und braten Sie die Auberginenscheiben goldbraun an beiden Seiten. In einer Auflaufform schichten Sie die gebratenen Auberginenscheiben mit Marinara-Sauce und geriebenem Mozzarella-Käse. Wiederholen Sie die Schichten, bis alle Zutaten aufgebraucht sind, und enden Sie mit einer Schicht Käse. Backen Sie das Gericht 25-30 Minuten, bis der Käse geschmolzen und blubbert. Heiß servieren."
"Pulled Pork Sandwiches","Um Pulled Pork Sandwiches zuzubereiten, reiben Sie eine 3-4 Pfund schwere Schweineschulter mit einer Mischung aus Salz, Pfeffer, Paprika und braunem Zucker ein. Legen Sie das Schweinefleisch in einen Slow Cooker und fügen Sie 1 Tasse Barbecue-Sauce und 1/2 Tasse Apfelessig hinzu. Kochen Sie es 8-10 Stunden lang auf niedriger Stufe, bis das Schweinefleisch zart ist und sich leicht zerkleinern lässt. Nehmen Sie das Schweinefleisch aus dem Slow Cooker und zerkleinern Sie es mit zwei Gabeln. Geben Sie das zerkleinerte Schweinefleisch zurück in den Slow Cooker und vermischen Sie es mit dem Bratensaft. Servieren Sie das Pulled Pork auf getoasteten Brötchen mit Krautsalat und zusätzlicher Barbecue-Sauce an der Seite."
"Tiramisu","Um Tiramisu zuzubereiten, beginnen Sie mit dem Brühen einer Tasse starken Kaffees und lassen Sie ihn abkühlen. In einer großen Schüssel schlagen Sie 4 Eigelb mit 1/2 Tasse Zucker, bis die Mischung dick und blass ist. Fügen Sie 225 g Mascarpone hinzu und rühren Sie, bis die Masse glatt ist. In einer separaten Schüssel schlagen Sie 1 Tasse Sahne, bis sich steife Spitzen bilden, und heben Sie sie unter die Mascarpone-Mischung. Tauchen Sie jede Löffelbiskuit in den abgekühlten Kaffee und schichten Sie sie in eine 9x9-Zoll-Schale. Verteilen Sie die Hälfte der Mascarpone-Mischung über den Biskuits und wiederholen Sie den Vorgang mit einer weiteren Schicht getränkter Löffelbiskuits und dem Rest der Mascarpone-Mischung. Bestäuben Sie die Oberseite mit Kakaopulver und kühlen Sie das Tiramisu mindestens 4 Stunden lang vor dem Servieren."
"Lasagne","Um Lasagne zuzubereiten, heizen Sie den Ofen auf 190°C (375°F) vor. Kochen Sie 12 Lasagne-Nudeln nach Packungsanweisung. In einer großen Pfanne braten Sie 1 Pfund Hackfleisch mit 1 gewürfelten Zwiebel und 2 gehackten Knoblauchzehen an. Lassen Sie das überschüssige Fett ab und rühren Sie 1 Glas Marinara-Sauce ein, lassen Sie es 10 Minuten köcheln. In einer separaten Schüssel mischen Sie 1 Tasse Ricotta-Käse mit 1 geschlagenen Ei und 1/2 Tasse geriebenem Parmesan. Zum Zusammenstellen der Lasagne verteilen Sie eine dünne Schicht Fleischsauce auf dem Boden einer Auflaufform. Schichten Sie 3 Nudeln darauf, dann ein Drittel der Ricotta-Mischung und geriebenen Mozzarella-Käse. Wiederholen Sie die Schichten und enden Sie mit einer letzten Schicht Fleischsauce und Mozzarella. Decken Sie die Form mit Folie ab und backen Sie sie 25 Minuten, dann nehmen Sie die Folie ab und backen Sie weitere 15 Minuten, bis der Käse geschmolzen und blubbernd ist. Lassen Sie die Lasagne 10 Minuten abkühlen, bevor Sie sie schneiden und servieren."
"Schokoladenkekse","Um klassische Schokoladenkekse zu machen, heizen Sie den Ofen auf 175°C (350°F) vor. In einer großen Schüssel verrühren Sie 1 Tasse weiche Butter, 1 Tasse weißen Zucker und 1 Tasse braunen Zucker, bis die Masse glatt ist. Schlagen Sie 2 Eier einzeln unter, dann rühren Sie 2 Teelöffel Vanilleextrakt ein. In einer separaten Schüssel vermischen Sie 3 Tassen Mehl, 1 Teelöffel Natron und 1/2 Teelöffel Salz. Nach und nach mischen Sie die trockenen Zutaten unter die feuchte Mischung. Heben Sie 2 Tassen halbsüße Schokoladenchips unter. Geben Sie Esslöffel große Teigbällchen auf ungefettete Backbleche. Backen Sie sie 10-12 Minuten lang, bis die Ränder goldbraun sind. Lassen Sie die Kekse einige Minuten auf dem Backblech abkühlen, bevor Sie sie auf ein Kuchengitter legen, um sie vollständig abzukühlen."
"Rindfleisch-Tacos","Um Rindfleisch-Tacos zuzubereiten, braten Sie 1 Pfund Rinderhackfleisch in einer Pfanne bei mittlerer Hitze an, bis es gebräunt ist. Lassen Sie überschüssiges Fett ab und rühren Sie 1 Packung Taco-Gewürzmischung und 1/2 Tasse Wasser ein. Lassen Sie die Mischung 5 Minuten köcheln, bis die Sauce eindickt. Erwärmen Sie die Taco-Schalen im Ofen oder in der Mikrowelle, füllen Sie jede Schale mit einem Löffel der Fleischmischung. Garnieren Sie die Tacos mit geriebenem Salat, gewürfelten Tomaten, geriebenem Käse und einem Klecks Sauerrahm. Sofort mit Salsa und Guacamole servieren."
"Schokoladenkuchen","Um einen saftigen Schokoladenkuchen zu machen, heizen Sie Ihren Ofen auf 175°C (350°F) vor. Fetten und mehlen Sie zwei 23 cm (9-Zoll) runde Kuchenformen. In einer großen Schüssel verrühren Sie 2 Tassen Zucker, 1 3/4 Tassen Mehl, 3/4 Tasse Kakaopulver, 1 1/2 Teelöffel Backpulver, 1 1/2 Teelöffel Natron und 1 Teelöffel Salz. Fügen Sie 2 Eier, 1 Tasse Milch, 1/2 Tasse Pflanzenöl und 2 Teelöffel Vanilleextrakt hinzu. Schlagen Sie die Mischung 2 Minuten lang bei mittlerer Geschwindigkeit. Rühren Sie 1 Tasse kochendes Wasser ein (der Teig wird dünnflüssig). Gießen Sie den Teig gleichmäßig in die vorbereiteten Formen. Backen Sie 30-35 Minuten oder bis ein Zahnstocher in der Mitte sauber herauskommt. Lassen Sie die Kuchen 10 Minuten in den Formen abkühlen, dann auf einem Kuchengitter vollständig abkühlen, bevor Sie sie glasieren."
"Hähnchenpfanne","Um eine Hähnchenpfanne zu machen, schneiden Sie 2 Hähnchenbrustfilets ohne Knochen und Haut in dünne Streifen. In einer kleinen Schüssel verquirlen Sie 1/4 Tasse Sojasauce, 2 Esslöffel Hoisinsauce, 1 Esslöffel Reisessig und 1 Teelöffel Sesamöl. Erhitzen Sie 2 Esslöffel Pflanzenöl in einer großen Pfanne oder einem Wok bei mittlerer bis hoher Hitze. Fügen Sie das Hähnchen hinzu und braten Sie es 5-7 Minuten unter Rühren, bis es durchgegart ist. Nehmen Sie das Hähnchen aus der Pfanne und stellen Sie es beiseite. In derselben Pfanne braten Sie 1 geschnittene Paprika, 1 geschnittene Karotte und 1 Tasse Brokkoliröschen 3-4 Minuten lang an. Geben Sie das Hähnchen zurück in die Pfanne und gießen Sie die Sauce über alles. Rühren Sie um und kochen Sie weitere 2-3 Minuten, bis die Sauce eindickt. Heiß über gedämpftem Reis servieren."
"Knoblauchbrot","Um Knoblauchbrot zu machen, heizen Sie Ihren Ofen auf 175°C (350°F) vor. In einer kleinen Schüssel mischen Sie 1/2 Tasse weiche Butter, 3 gehackte Knoblauchzehen und 2 Esslöffel gehackte frische Petersilie. Schneiden Sie ein Baguette der Länge nach in zwei Hälften. Bestreichen Sie die Schnittseiten des Brotes gleichmäßig mit der Knoblauchbutter-Mischung. Legen Sie die Brothälften auf ein Backblech und backen Sie sie 10-12 Minuten lang, bis die Ränder goldbraun und knusprig sind. Für extra käsiges Knoblauchbrot streuen Sie geriebenen Mozzarella oder Parmesan über das Brot und backen es weitere 3-5 Minuten, bis der Käse geschmolzen und blubbernd ist. Schneiden und warm servieren."
"Griechischer Salat","Um einen frischen griechischen Salat zu machen, schneiden Sie 4 große Tomaten, 1 Gurke, 1 rote Zwiebel und 1 grüne Paprika. Geben Sie das Gemüse in eine große Schüssel. Fügen Sie 1/2 Tasse Kalamata-Oliven und 1/4 Tasse zerbröckelten Feta-Käse hinzu. In einer kleinen Schüssel verquirlen Sie 1/4 Tasse Olivenöl, 2 Esslöffel Rotweinessig, 1 Teelöffel getrockneten Oregano und Salz und Pfeffer nach Geschmack. Gießen Sie das Dressing über den Salat und mischen Sie alles gut durch. Sofort als Beilage oder leichtes Hauptgericht servieren."
"Fisch-Tacos","Um Fisch-Tacos zuzubereiten, würzen Sie 450 g weiße Fischfilets (z. B. Kabeljau oder Tilapia) mit Salz, Pfeffer und einer Prise Chilipulver. In einer großen Pfanne erhitzen Sie 2 Esslöffel Pflanzenöl bei mittlerer bis hoher Hitze. Braten Sie die Fischfilets 3-4 Minuten pro Seite, bis sie goldbraun und durchgegart sind. Nehmen Sie den Fisch aus der Pfanne und zerteilen Sie ihn in große Stücke. Erwärmen Sie Maistortillas im Ofen oder in der Mikrowelle, füllen Sie jede Tortilla mit ein paar Fischstücken. Garnieren Sie die Tacos mit gehobeltem Kohl, gewürfelten Tomaten, geschnittenen Avocados und einem Spritzer Limetten-Crema (gemischt aus Sauerrahm, Limettensaft und -schale). Sofort mit Limettenspalten servieren."
"Hähnchen-Caesar-Wrap","Um einen Hähnchen-Caesar-Wrap zuzubereiten, grillen oder braten Sie 2 Hähnchenbrustfilets ohne Knochen und Haut, bis sie vollständig gegart sind. Lassen Sie das Hähnchen einige Minuten ruhen und schneiden Sie es dann in dünne Streifen. In einer großen Schüssel mischen Sie das Hähnchen mit 1/4 Tasse Caesar-Dressing, 2 Tassen gehacktem Römersalat und 1/4 Tasse geriebenem Parmesan. Legen Sie große Weizentortillas aus und geben Sie eine Portion der Hähnchenmischung in die Mitte jeder Tortilla. Falten Sie die Seiten der Tortilla über die Füllung und rollen Sie sie fest auf. Halbieren Sie die Wraps und servieren Sie sie sofort."
"Überbackene Ziti","Um überbackene Ziti zuzubereiten, heizen Sie den Ofen auf 190°C (375°F) vor. Kochen Sie 450 g Ziti-Nudeln nach Packungsanweisung, lassen Sie sie abtropfen und stellen Sie sie beiseite. In einer großen Pfanne braten Sie 450 g italienische Wurst bei mittlerer Hitze an und zerbröckeln sie in kleine Stücke. Rühren Sie 1 Glas Marinara-Sauce ein und lassen Sie es 5 Minuten köcheln. In einer großen Schüssel mischen Sie die gekochten Ziti mit der Wurstmischung, 1 Tasse Ricotta-Käse und 1/2 Tasse geriebenem Parmesan. Geben Sie die Mischung in eine gefettete Auflaufform und bestreuen Sie sie mit 2 Tassen geriebenem Mozzarella. Backen Sie 25-30 Minuten, bis der Käse geschmolzen und blubbernd ist. Lassen Sie die Ziti einige Minuten abkühlen, bevor Sie sie servieren."
"Kürbiskuchen","Um Kürbiskuchen zu machen, heizen Sie Ihren Ofen auf 220°C (425°F) vor. In einer großen Schüssel verquirlen Sie 2 Tassen Kürbispüree aus der Dose, 1 Dose gesüßte Kondensmilch, 2 große Eier, 1 Teelöffel Zimt, 1/2 Teelöffel gemahlenen Ingwer, 1/4 Teelöffel gemahlene Nelken und 1/2 Teelöffel Salz. Gießen Sie die Mischung in eine ungebackene 23 cm (9-Zoll) Kuchenkruste. Backen Sie den Kuchen 15 Minuten, reduzieren Sie dann die Ofentemperatur auf 175°C (350°F) und backen Sie weitere 35-40 Minuten, oder bis ein Messer in der Mitte sauber herauskommt. Lassen Sie den Kuchen vollständig abkühlen, bevor Sie ihn mit Schlagsahne servieren."
"Kimchi-Jjigae","Um Kimchi-Jjigae zuzubereiten, erhitzen Sie 1 Esslöffel Pflanzenöl in einem großen Topf bei mittlerer Hitze. Fügen Sie 225 g dünn geschnittenen Schweinebauch oder Schulter hinzu und braten Sie ihn an, bis er gebräunt ist. Rühren Sie 2 Tassen gut fermentierten Kimchi ein und braten Sie es 3-4 Minuten, bis der Kimchi weich ist. Fügen Sie 4 Tassen Wasser oder Brühe, 1 Esslöffel Gochujang (koreanische rote Chilipaste) und 1 Esslöffel Sojasauce hinzu. Bringen Sie die Mischung zum Kochen, reduzieren Sie dann die Hitze und lassen Sie sie 20 Minuten köcheln. Fügen Sie 1 in Würfel geschnittenen Block Tofu hinzu und lassen Sie es weitere 5-10 Minuten köcheln. Servieren Sie den Eintopf heiß, garniert mit gehackten Frühlingszwiebeln und einer Schale gedämpftem Reis an der Seite."
